ID,endpoint
C490867,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490867
C490870,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490870
C490871,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490871
C490875,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490875
C490904,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490904
C490905,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490905
C490906,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490906
C490907,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490907
C490908,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490908
C490909,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490909
C490914,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490914
C490915,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490915
C490916,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490916
C490917,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490917
C490918,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490918
C490919,https://myntfintech.testrail.io/index.php?/api/v2/get_case/490919
C491000,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491000
C491001,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491001
C491002,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491002
C491003,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491003
C491004,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491004
C491005,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491005
C491006,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491006
C491007,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491007
C491008,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491008
C491018,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491018
C491019,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491019
C491020,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491020
C491021,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491021
